class_idx,selection_count
0,1
1,1437
2,18
3,0
4,0
5,727
6,887
7,16
8,1175
9,879
10,1040
11,1481
12,1447
13,502
14,1874
15,1600
16,510
17,513
18,1330
19,520
20,1
21,1085
22,1460
23,1629
24,888
25,790
26,1394
27,1853
28,123
29,5
30,151
31,1863
32,1669
33,0
34,0
35,370
36,540
37,1010
38,500
39,7
40,26
41,1321
42,1095
43,0
44,825
45,1331
46,1748
47,1129
48,0
49,1010
50,1650
51,26
52,1695
53,1474
54,1663
55,1372
56,0
57,1792
58,1488
59,1928
60,488
61,499
62,500
63,499
64,1065
65,3
66,0
67,1096
68,497
69,523
70,2009
71,810
72,201
73,968
74,1557
75,375
76,1979
77,1816
78,852
79,1866
80,1130
81,1308
82,1634
83,840
84,950
85,987
86,1114
87,0
88,392
89,1476
90,1514
91,1548
92,1281
93,879
94,1909
95,800
96,594
97,0
98,0
99,499
100,982
101,1487
102,1788
103,505
104,814
105,1766
106,0
107,1084
108,1887
109,1480
110,1017
111,0
112,1479
113,1644
114,1983
115,1076
116,1904
117,11
118,437
119,1303
120,1506
121,742
122,0
123,1118
124,847
125,1702
126,511
127,850
128,499
129,1523
130,911
131,1192
132,1577
133,1885
134,837
135,1799
136,1302
137,12
138,1655
139,4
140,0
141,13
142,2
143,0
144,45
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,4
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,0
181,0
182,74
183,361
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,426
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,499
203,0
204,0
205,0
206,488
207,0
208,0
209,0
210,0
211,500
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,592
222,0
223,499
224,0
225,0
226,0
227,0
228,107
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,1125
273,787
274,0
275,502
276,451
277,0
278,1
279,0
280,782
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,39
290,0
291,0
292,0
293,830
294,0
295,1746
296,0
297,500
298,1281
299,0
300,958
301,1874
302,846
303,363
304,1881
305,1974
306,505
307,0
308,968
309,2030
310,2048
311,28
312,681
313,2048
314,823
315,2045
316,1102
317,1362
318,1836
319,979
320,1676
321,1589
322,1794
323,1770
324,2041
325,2026
326,1895
327,1505
328,1999
329,1791
330,1121
331,724
332,701
333,0
334,1741
335,1548
336,1676
337,0
338,0
339,0
340,504
341,0
342,766
343,1263
344,0
345,0
346,1453
347,828
348,499
349,779
350,0
351,501
352,1168
353,0
354,0
355,0
356,499
357,0
358,0
359,0
360,499
361,786
362,0
363,1686
364,1786
365,1192
366,499
367,0
368,0
369,499
370,0
371,0
372,807
373,0
374,1433
375,803
376,989
377,500
378,1648
379,1924
380,0
381,1585
382,493
383,0
384,1525
385,0
386,494
387,1332
388,499
389,448
390,791
391,512
392,0
393,0
394,0
395,0
396,500
397,866
398,272
399,499
400,2
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,149
410,1581
411,0
412,1072
413,496
414,0
415,0
416,0
417,699
418,0
419,1251
420,0
421,0
422,0
423,0
424,0
425,1107
426,0
427,0
428,1278
429,795
430,0
431,0
432,0
433,0
434,447
435,0
436,500
437,500
438,0
439,0
440,0
441,0
442,0
443,0
444,2
445,0
446,0
447,0
448,1979
449,183
450,0
451,0
452,1021
453,0
454,0
455,952
456,1334
457,0
458,499
459,500
460,0
461,0
462,757
463,17
464,0
465,0
466,0
467,500
468,0
469,0
470,0
471,0
472,0
473,0
474,21
475,499
476,0
