metric,value
samples_processed,49000
k_per_sample,100
unique_params_selected,967380
total_params,2049000
coverage_percent,47.21229868228404
weight_params_selected,967356
bias_params_selected,24
unique_classes_touched,973
unique_features_touched,2048
adjacent_pairs,650061
avg_gap,2.117112125331445
