metric,value
samples_processed,10000
k_per_sample,1
unique_params_selected,5812
total_params,2049000
coverage_percent,0.2836505612493899
weight_params_selected,5812
bias_params_selected,0
unique_classes_touched,394
unique_features_touched,1447
adjacent_pairs,316
avg_gap,351.6616761314748
