index,type,class_idx,feature_idx
18,weight,0,18
53,weight,0,53
71,weight,0,71
72,weight,0,72
73,weight,0,73
89,weight,0,89
114,weight,0,114
186,weight,0,186
210,weight,0,210
216,weight,0,216
242,weight,0,242
253,weight,0,253
264,weight,0,264
288,weight,0,288
292,weight,0,292
293,weight,0,293
298,weight,0,298
320,weight,0,320
325,weight,0,325
326,weight,0,326
389,weight,0,389
420,weight,0,420
424,weight,0,424
435,weight,0,435
461,weight,0,461
467,weight,0,467
480,weight,0,480
514,weight,0,514
526,weight,0,526
544,weight,0,544
563,weight,0,563
579,weight,0,579
584,weight,0,584
589,weight,0,589
651,weight,0,651
667,weight,0,667
685,weight,0,685
737,weight,0,737
758,weight,0,758
785,weight,0,785
830,weight,0,830
859,weight,0,859
861,weight,0,861
898,weight,0,898
927,weight,0,927
959,weight,0,959
978,weight,0,978
980,weight,0,980
986,weight,0,986
998,weight,0,998
1023,weight,0,1023
1096,weight,0,1096
1131,weight,0,1131
1145,weight,0,1145
1194,weight,0,1194
1212,weight,0,1212
1231,weight,0,1231
1241,weight,0,1241
1289,weight,0,1289
1345,weight,0,1345
1360,weight,0,1360
1378,weight,0,1378
1434,weight,0,1434
1473,weight,0,1473
1474,weight,0,1474
1475,weight,0,1475
1493,weight,0,1493
1498,weight,0,1498
1502,weight,0,1502
1558,weight,0,1558
1587,weight,0,1587
1589,weight,0,1589
1591,weight,0,1591
1600,weight,0,1600
1612,weight,0,1612
1618,weight,0,1618
1627,weight,0,1627
1680,weight,0,1680
1692,weight,0,1692
1763,weight,0,1763
1766,weight,0,1766
1779,weight,0,1779
1797,weight,0,1797
1821,weight,0,1821
1822,weight,0,1822
1827,weight,0,1827
1843,weight,0,1843
1868,weight,0,1868
1945,weight,0,1945
1956,weight,0,1956
1975,weight,0,1975
2007,weight,0,2007
2038,weight,0,2038
2072,weight,1,24
2328,weight,1,280
2472,weight,1,424
2493,weight,1,445
2612,weight,1,564
2754,weight,1,706
2823,weight,1,775
3046,weight,1,998
3240,weight,1,1192
3393,weight,1,1345
3536,weight,1,1488
3550,weight,1,1502
3675,weight,1,1627
3880,weight,1,1832
3928,weight,1,1880
4123,weight,2,27
4137,weight,2,41
4181,weight,2,85
4189,weight,2,93
4228,weight,2,132
4233,weight,2,137
4271,weight,2,175
4341,weight,2,245
4362,weight,2,266
4382,weight,2,286
4384,weight,2,288
4422,weight,2,326
4450,weight,2,354
4462,weight,2,366
4466,weight,2,370
4485,weight,2,389
4504,weight,2,408
4507,weight,2,411
4510,weight,2,414
4573,weight,2,477
4588,weight,2,492
4638,weight,2,542
4668,weight,2,572
4674,weight,2,578
4798,weight,2,702
4861,weight,2,765
4882,weight,2,786
4890,weight,2,794
4914,weight,2,818
4933,weight,2,837
4986,weight,2,890
5025,weight,2,929
5036,weight,2,940
5038,weight,2,942
5130,weight,2,1034
5146,weight,2,1050
5163,weight,2,1067
5174,weight,2,1078
5193,weight,2,1097
5239,weight,2,1143
5259,weight,2,1163
5362,weight,2,1266
5383,weight,2,1287
5430,weight,2,1334
5433,weight,2,1337
5443,weight,2,1347
5447,weight,2,1351
5476,weight,2,1380
5496,weight,2,1400
5502,weight,2,1406
5530,weight,2,1434
5539,weight,2,1443
5540,weight,2,1444
5555,weight,2,1459
5566,weight,2,1470
5594,weight,2,1498
5638,weight,2,1542
5677,weight,2,1581
5678,weight,2,1582
5698,weight,2,1602
5699,weight,2,1603
5755,weight,2,1659
5791,weight,2,1695
5822,weight,2,1726
5826,weight,2,1730
5871,weight,2,1775
5951,weight,2,1855
5984,weight,2,1888
6035,weight,2,1939
6077,weight,2,1981
6135,weight,2,2039
6171,weight,3,27
6196,weight,3,52
6285,weight,3,141
6558,weight,3,414
6609,weight,3,465
6614,weight,3,470
6635,weight,3,491
6684,weight,3,540
6931,weight,3,787
7028,weight,3,884
7323,weight,3,1179
7348,weight,3,1204
7387,weight,3,1243
7504,weight,3,1360
7544,weight,3,1400
7578,weight,3,1434
7589,weight,3,1445
7794,weight,3,1650
7872,weight,3,1728
8045,weight,3,1901
8054,weight,3,1910
8281,weight,4,89
8419,weight,4,227
8464,weight,4,272
8518,weight,4,326
8631,weight,4,439
8667,weight,4,475
8671,weight,4,479
8787,weight,4,595
8810,weight,4,618
8865,weight,4,673
8905,weight,4,713
8958,weight,4,766
8974,weight,4,782
9026,weight,4,834
9035,weight,4,843
9044,weight,4,852
9065,weight,4,873
9195,weight,4,1003
9385,weight,4,1193
9553,weight,4,1361
9621,weight,4,1429
9623,weight,4,1431
9652,weight,4,1460
9710,weight,4,1518
9741,weight,4,1549
9878,weight,4,1686
10097,weight,4,1905
10185,weight,4,1993
10266,weight,5,26
10281,weight,5,41
10305,weight,5,65
10307,weight,5,67
10337,weight,5,97
10381,weight,5,141
10384,weight,5,144
10407,weight,5,167
10410,weight,5,170
10412,weight,5,172
10421,weight,5,181
10430,weight,5,190
10458,weight,5,218
10501,weight,5,261
10502,weight,5,262
10511,weight,5,271
10519,weight,5,279
10528,weight,5,288
10586,weight,5,346
10635,weight,5,395
10641,weight,5,401
10661,weight,5,421
10674,weight,5,434
10679,weight,5,439
10687,weight,5,447
10696,weight,5,456
10713,weight,5,473
10723,weight,5,483
10728,weight,5,488
10729,weight,5,489
10741,weight,5,501
10750,weight,5,510
10760,weight,5,520
10775,weight,5,535
10791,weight,5,551
10855,weight,5,615
10859,weight,5,619
10861,weight,5,621
10863,weight,5,623
10870,weight,5,630
10904,weight,5,664
10910,weight,5,670
10942,weight,5,702
10968,weight,5,728
10998,weight,5,758
10999,weight,5,759
11015,weight,5,775
11037,weight,5,797
11043,weight,5,803
11046,weight,5,806
11052,weight,5,812
11068,weight,5,828
11071,weight,5,831
11076,weight,5,836
11077,weight,5,837
11081,weight,5,841
11087,weight,5,847
11135,weight,5,895
11151,weight,5,911
11152,weight,5,912
11153,weight,5,913
11177,weight,5,937
11190,weight,5,950
11205,weight,5,965
11207,weight,5,967
11246,weight,5,1006
11253,weight,5,1013
11302,weight,5,1062
11335,weight,5,1095
11354,weight,5,1114
11371,weight,5,1131
11384,weight,5,1144
11407,weight,5,1167
11414,weight,5,1174
11424,weight,5,1184
11425,weight,5,1185
11431,weight,5,1191
11437,weight,5,1197
11442,weight,5,1202
11471,weight,5,1231
11476,weight,5,1236
11500,weight,5,1260
11523,weight,5,1283
11524,weight,5,1284
11552,weight,5,1312
11578,weight,5,1338
11581,weight,5,1341
11583,weight,5,1343
11589,weight,5,1349
11628,weight,5,1388
11651,weight,5,1411
11652,weight,5,1412
11668,weight,5,1428
11674,weight,5,1434
11678,weight,5,1438
11722,weight,5,1482
11736,weight,5,1496
11772,weight,5,1532
11806,weight,5,1566
11809,weight,5,1569
11819,weight,5,1579
11822,weight,5,1582
11828,weight,5,1588
11830,weight,5,1590
11888,weight,5,1648
11891,weight,5,1651
11937,weight,5,1697
11944,weight,5,1704
11949,weight,5,1709
11978,weight,5,1738
12002,weight,5,1762
12004,weight,5,1764
12009,weight,5,1769
12037,weight,5,1797
12041,weight,5,1801
12064,weight,5,1824
12070,weight,5,1830
12077,weight,5,1837
12081,weight,5,1841
12098,weight,5,1858
12101,weight,5,1861
12128,weight,5,1888
12150,weight,5,1910
12180,weight,5,1940
12210,weight,5,1970
12218,weight,5,1978
12234,weight,5,1994
12254,weight,5,2014
12273,weight,5,2033
12279,weight,5,2039
12280,weight,5,2040
12285,weight,5,2045
12301,weight,6,13
12314,weight,6,26
12321,weight,6,33
12351,weight,6,63
12408,weight,6,120
12664,weight,6,376
12727,weight,6,439
12761,weight,6,473
12779,weight,6,491
12817,weight,6,529
12842,weight,6,554
12961,weight,6,673
13024,weight,6,736
13063,weight,6,775
13100,weight,6,812
13131,weight,6,843
13135,weight,6,847
13142,weight,6,854
13200,weight,6,912
13225,weight,6,937
13238,weight,6,950
13291,weight,6,1003
13294,weight,6,1006
13330,weight,6,1042
13350,weight,6,1062
13361,weight,6,1073
13369,weight,6,1081
13413,weight,6,1125
13415,weight,6,1127
13464,weight,6,1176
13497,weight,6,1209
13524,weight,6,1236
13542,weight,6,1254
13544,weight,6,1256
13545,weight,6,1257
13562,weight,6,1274
13601,weight,6,1313
13639,weight,6,1351
13646,weight,6,1358
13683,weight,6,1395
13700,weight,6,1412
13716,weight,6,1428
13746,weight,6,1458
13747,weight,6,1459
13768,weight,6,1480
13795,weight,6,1507
13820,weight,6,1532
13910,weight,6,1622
13973,weight,6,1685
14003,weight,6,1715
14047,weight,6,1759
14050,weight,6,1762
14119,weight,6,1831
14149,weight,6,1861
14176,weight,6,1888
14200,weight,6,1912
14213,weight,6,1925
14241,weight,6,1953
17458,weight,8,1074
17562,weight,8,1178
17706,weight,8,1322
17917,weight,8,1533
18512,weight,9,80
19549,weight,9,1117
27168,weight,13,544
27753,weight,13,1129
30277,weight,14,1605
30550,weight,14,1878
43453,weight,21,445
43755,weight,21,747
43802,weight,21,794
43935,weight,21,927
43989,weight,21,981
44957,weight,21,1949
47513,weight,23,409
48186,weight,23,1082
48579,weight,23,1475
48793,weight,23,1689
49378,weight,24,226
50647,weight,24,1495
51219,weight,25,19
51245,weight,25,45
51277,weight,25,77
51287,weight,25,87
51332,weight,25,132
51337,weight,25,137
51363,weight,25,163
51380,weight,25,180
51382,weight,25,182
51388,weight,25,188
51449,weight,25,249
51489,weight,25,289
51512,weight,25,312
51583,weight,25,383
51587,weight,25,387
51611,weight,25,411
51658,weight,25,458
51698,weight,25,498
51717,weight,25,517
51726,weight,25,526
51743,weight,25,543
51789,weight,25,589
51819,weight,25,619
51830,weight,25,630
51844,weight,25,644
51892,weight,25,692
51926,weight,25,726
51928,weight,25,728
51934,weight,25,734
51959,weight,25,759
51981,weight,25,781
52008,weight,25,808
52055,weight,25,855
52062,weight,25,862
52074,weight,25,874
52152,weight,25,952
52218,weight,25,1018
52228,weight,25,1028
52303,weight,25,1103
52402,weight,25,1202
52439,weight,25,1239
52441,weight,25,1241
52442,weight,25,1242
52453,weight,25,1253
52454,weight,25,1254
52480,weight,25,1280
52491,weight,25,1291
52658,weight,25,1458
52663,weight,25,1463
52670,weight,25,1470
52691,weight,25,1491
52734,weight,25,1534
52749,weight,25,1549
52750,weight,25,1550
52788,weight,25,1588
52861,weight,25,1661
52935,weight,25,1735
52957,weight,25,1757
52964,weight,25,1764
52968,weight,25,1768
52973,weight,25,1773
52981,weight,25,1781
52998,weight,25,1798
53029,weight,25,1829
53031,weight,25,1831
53187,weight,25,1987
53204,weight,25,2004
53255,weight,26,7
53278,weight,26,30
53301,weight,26,53
53318,weight,26,70
53349,weight,26,101
53375,weight,26,127
53380,weight,26,132
53418,weight,26,170
53428,weight,26,180
53472,weight,26,224
53479,weight,26,231
53504,weight,26,256
53537,weight,26,289
53554,weight,26,306
53560,weight,26,312
53562,weight,26,314
53584,weight,26,336
53595,weight,26,347
53627,weight,26,379
53670,weight,26,422
53700,weight,26,452
53713,weight,26,465
53721,weight,26,473
53760,weight,26,512
53786,weight,26,538
53851,weight,26,603
53860,weight,26,612
53866,weight,26,618
53867,weight,26,619
53874,weight,26,626
53888,weight,26,640
53938,weight,26,690
53950,weight,26,702
53976,weight,26,728
54004,weight,26,756
54010,weight,26,762
54034,weight,26,786
54060,weight,26,812
54074,weight,26,826
54089,weight,26,841
54096,weight,26,848
54097,weight,26,849
54127,weight,26,879
54153,weight,26,905
54156,weight,26,908
54168,weight,26,920
54192,weight,26,944
54200,weight,26,952
54215,weight,26,967
54230,weight,26,982
54234,weight,26,986
54238,weight,26,990
54244,weight,26,996
54246,weight,26,998
54253,weight,26,1005
54268,weight,26,1020
54271,weight,26,1023
54276,weight,26,1028
54313,weight,26,1065
54326,weight,26,1078
54335,weight,26,1087
54338,weight,26,1090
54363,weight,26,1115
54376,weight,26,1128
54474,weight,26,1226
54490,weight,26,1242
54497,weight,26,1249
54503,weight,26,1255
54510,weight,26,1262
54525,weight,26,1277
54531,weight,26,1283
54553,weight,26,1305
54557,weight,26,1309
54567,weight,26,1319
54579,weight,26,1331
54600,weight,26,1352
54605,weight,26,1357
54631,weight,26,1383
54637,weight,26,1389
54640,weight,26,1392
54646,weight,26,1398
54651,weight,26,1403
54663,weight,26,1415
54693,weight,26,1445
54699,weight,26,1451
54702,weight,26,1454
54707,weight,26,1459
54739,weight,26,1491
54758,weight,26,1510
54778,weight,26,1530
54805,weight,26,1557
54875,weight,26,1627
54904,weight,26,1656
54922,weight,26,1674
54945,weight,26,1697
54946,weight,26,1698
54981,weight,26,1733
54983,weight,26,1735
54999,weight,26,1751
55005,weight,26,1757
55021,weight,26,1773
55033,weight,26,1785
55059,weight,26,1811
55077,weight,26,1829
55093,weight,26,1845
55106,weight,26,1858
55113,weight,26,1865
55133,weight,26,1885
55144,weight,26,1896
55165,weight,26,1917
55229,weight,26,1981
55235,weight,26,1987
55246,weight,26,1998
55276,weight,26,2028
55278,weight,26,2030
55286,weight,26,2038
55468,weight,27,172
55630,weight,27,334
55919,weight,27,623
56993,weight,27,1697
56995,weight,27,1699
57331,weight,27,2035
57456,weight,28,112
57541,weight,28,197
57573,weight,28,229
57644,weight,28,300
57790,weight,28,446
57817,weight,28,473
57870,weight,28,526
57902,weight,28,558
57956,weight,28,612
57967,weight,28,623
58014,weight,28,670
58132,weight,28,788
58205,weight,28,861
58228,weight,28,884
58236,weight,28,892
58249,weight,28,905
58272,weight,28,928
58330,weight,28,986
58406,weight,28,1062
58434,weight,28,1090
58510,weight,28,1166
58682,weight,28,1338
58722,weight,28,1378
58830,weight,28,1486
58843,weight,28,1499
58980,weight,28,1636
59070,weight,28,1726
59094,weight,28,1750
59159,weight,28,1815
59172,weight,28,1828
59225,weight,28,1881
59342,weight,28,1998
59657,weight,29,265
59890,weight,29,498
59899,weight,29,507
59985,weight,29,593
60382,weight,29,990
60411,weight,29,1019
60580,weight,29,1188
60760,weight,29,1368
60862,weight,29,1470
61026,weight,29,1634
61035,weight,29,1643
61085,weight,29,1693
61176,weight,29,1784
61245,weight,29,1853
61363,weight,29,1971
61531,weight,30,91
61652,weight,30,212
61917,weight,30,477
61966,weight,30,526
62056,weight,30,616
62302,weight,30,862
62377,weight,30,937
62446,weight,30,1006
62645,weight,30,1205
62690,weight,30,1250
62852,weight,30,1412
62974,weight,30,1534
63010,weight,30,1570
63311,weight,30,1871
63426,weight,30,1986
63438,weight,30,1998
63600,weight,31,112
63806,weight,31,318
64053,weight,31,565
64168,weight,31,680
64262,weight,31,774
64806,weight,31,1318
64871,weight,31,1383
64885,weight,31,1397
65187,weight,31,1699
65262,weight,31,1774
65544,weight,32,8
65591,weight,32,55
65648,weight,32,112
65685,weight,32,149
65722,weight,32,186
65742,weight,32,206
65780,weight,32,244
65804,weight,32,268
65853,weight,32,317
65873,weight,32,337
65908,weight,32,372
65958,weight,32,422
66110,weight,32,574
66128,weight,32,592
66152,weight,32,616
66205,weight,32,669
66216,weight,32,680
66250,weight,32,714
66274,weight,32,738
66362,weight,32,826
66418,weight,32,882
66430,weight,32,894
66471,weight,32,935
66522,weight,32,986
66525,weight,32,989
66558,weight,32,1022
66559,weight,32,1023
66626,weight,32,1090
66644,weight,32,1108
66674,weight,32,1138
66726,weight,32,1190
66748,weight,32,1212
66786,weight,32,1250
66804,weight,32,1268
66908,weight,32,1372
66948,weight,32,1412
66990,weight,32,1454
66994,weight,32,1458
66999,weight,32,1463
67115,weight,32,1579
67144,weight,32,1608
67148,weight,32,1612
67180,weight,32,1644
67271,weight,32,1735
67322,weight,32,1786
67364,weight,32,1828
67366,weight,32,1830
67387,weight,32,1851
67427,weight,32,1891
67473,weight,32,1937
67475,weight,32,1939
67571,weight,32,2035
67590,weight,33,6
67604,weight,33,20
67738,weight,33,154
67772,weight,33,188
67851,weight,33,267
67901,weight,33,317
67941,weight,33,357
67942,weight,33,358
67957,weight,33,373
67996,weight,33,412
68003,weight,33,419
68021,weight,33,437
68051,weight,33,467
68065,weight,33,481
