index,type,class_idx,feature_idx
18,weight,0,18
20,weight,0,20
53,weight,0,53
57,weight,0,57
71,weight,0,71
72,weight,0,72
73,weight,0,73
78,weight,0,78
81,weight,0,81
89,weight,0,89
90,weight,0,90
93,weight,0,93
108,weight,0,108
114,weight,0,114
127,weight,0,127
129,weight,0,129
134,weight,0,134
144,weight,0,144
158,weight,0,158
163,weight,0,163
186,weight,0,186
192,weight,0,192
207,weight,0,207
210,weight,0,210
216,weight,0,216
223,weight,0,223
240,weight,0,240
242,weight,0,242
243,weight,0,243
251,weight,0,251
253,weight,0,253
260,weight,0,260
264,weight,0,264
278,weight,0,278
282,weight,0,282
288,weight,0,288
292,weight,0,292
293,weight,0,293
298,weight,0,298
308,weight,0,308
312,weight,0,312
320,weight,0,320
323,weight,0,323
325,weight,0,325
326,weight,0,326
337,weight,0,337
343,weight,0,343
346,weight,0,346
362,weight,0,362
367,weight,0,367
389,weight,0,389
392,weight,0,392
393,weight,0,393
401,weight,0,401
412,weight,0,412
420,weight,0,420
422,weight,0,422
424,weight,0,424
432,weight,0,432
435,weight,0,435
447,weight,0,447
448,weight,0,448
449,weight,0,449
461,weight,0,461
467,weight,0,467
468,weight,0,468
480,weight,0,480
486,weight,0,486
487,weight,0,487
491,weight,0,491
493,weight,0,493
498,weight,0,498
499,weight,0,499
513,weight,0,513
514,weight,0,514
517,weight,0,517
526,weight,0,526
528,weight,0,528
531,weight,0,531
535,weight,0,535
543,weight,0,543
544,weight,0,544
563,weight,0,563
565,weight,0,565
572,weight,0,572
579,weight,0,579
584,weight,0,584
589,weight,0,589
596,weight,0,596
606,weight,0,606
618,weight,0,618
635,weight,0,635
640,weight,0,640
651,weight,0,651
652,weight,0,652
667,weight,0,667
670,weight,0,670
685,weight,0,685
689,weight,0,689
704,weight,0,704
710,weight,0,710
717,weight,0,717
724,weight,0,724
737,weight,0,737
740,weight,0,740
746,weight,0,746
747,weight,0,747
748,weight,0,748
758,weight,0,758
761,weight,0,761
773,weight,0,773
774,weight,0,774
785,weight,0,785
791,weight,0,791
792,weight,0,792
804,weight,0,804
809,weight,0,809
823,weight,0,823
830,weight,0,830
835,weight,0,835
847,weight,0,847
859,weight,0,859
861,weight,0,861
863,weight,0,863
873,weight,0,873
887,weight,0,887
895,weight,0,895
898,weight,0,898
900,weight,0,900
908,weight,0,908
911,weight,0,911
916,weight,0,916
920,weight,0,920
927,weight,0,927
929,weight,0,929
936,weight,0,936
937,weight,0,937
942,weight,0,942
954,weight,0,954
956,weight,0,956
958,weight,0,958
959,weight,0,959
968,weight,0,968
974,weight,0,974
978,weight,0,978
980,weight,0,980
986,weight,0,986
993,weight,0,993
998,weight,0,998
1018,weight,0,1018
1023,weight,0,1023
1037,weight,0,1037
1046,weight,0,1046
1057,weight,0,1057
1058,weight,0,1058
1060,weight,0,1060
1061,weight,0,1061
1066,weight,0,1066
1081,weight,0,1081
1089,weight,0,1089
1092,weight,0,1092
1096,weight,0,1096
1097,weight,0,1097
1100,weight,0,1100
1109,weight,0,1109
1114,weight,0,1114
1117,weight,0,1117
1125,weight,0,1125
1128,weight,0,1128
1129,weight,0,1129
1131,weight,0,1131
1140,weight,0,1140
