index,type,class_idx,feature_idx
344,weight,0,344
1574,weight,0,1574
1801,weight,0,1801
1976,weight,0,1976
2587,weight,1,539
2723,weight,1,675
2851,weight,1,803
3183,weight,1,1135
3792,weight,1,1744
3826,weight,1,1778
3974,weight,1,1926
10421,weight,5,181
10479,weight,5,239
10504,weight,5,264
10529,weight,5,289
10556,weight,5,316
10558,weight,5,318
10569,weight,5,329
10611,weight,5,371
10627,weight,5,387
10659,weight,5,419
10763,weight,5,523
10891,weight,5,651
11084,weight,5,844
11090,weight,5,850
11144,weight,5,904
11172,weight,5,932
11185,weight,5,945
11199,weight,5,959
11334,weight,5,1094
11437,weight,5,1197
11476,weight,5,1236
11530,weight,5,1290
11553,weight,5,1313
11886,weight,5,1646
11981,weight,5,1741
12053,weight,5,1813
12126,weight,5,1886
12177,weight,5,1937
12179,weight,5,1939
12469,weight,6,181
12577,weight,6,289
12707,weight,6,419
12968,weight,6,680
13004,weight,6,716
13366,weight,6,1078
13382,weight,6,1094
13388,weight,6,1100
13511,weight,6,1223
13758,weight,6,1470
14083,weight,6,1795
14129,weight,6,1841
14171,weight,6,1883
14275,weight,6,1987
14670,weight,7,334
14911,weight,7,575
53483,weight,26,235
54781,weight,26,1533
55616,weight,27,320
55783,weight,27,487
57597,weight,28,253
57709,weight,28,365
58118,weight,28,774
58404,weight,28,1060
59433,weight,29,41
59766,weight,29,374
60390,weight,29,998
60787,weight,29,1395
61214,weight,29,1822
65554,weight,32,18
65578,weight,32,42
66088,weight,32,552
66090,weight,32,554
67041,weight,32,1505
67511,weight,32,1975
67648,weight,33,64
67765,weight,33,181
67772,weight,33,188
68625,weight,33,1041
69881,weight,34,249
70034,weight,34,402
70486,weight,34,854
70577,weight,34,945
70944,weight,34,1312
70945,weight,34,1313
70948,weight,34,1316
71223,weight,34,1591
71427,weight,34,1795
71498,weight,34,1866
71886,weight,35,206
73227,weight,35,1547
74673,weight,36,945
74681,weight,36,953
75397,weight,36,1669
75447,weight,36,1719
79154,weight,38,1330
79534,weight,38,1710
79994,weight,39,122
80363,weight,39,491
81202,weight,39,1330
81694,weight,39,1822
84576,weight,41,608
85973,weight,41,2005
86255,weight,42,239
86975,weight,42,959
87019,weight,42,1003
87234,weight,42,1218
87509,weight,42,1493
87753,weight,42,1737
92351,weight,45,191
92875,weight,45,715
93386,weight,45,1226
93451,weight,45,1291
93605,weight,45,1445
93707,weight,45,1547
93888,weight,45,1728
94099,weight,45,1939
94868,weight,46,660
95746,weight,46,1538
100545,weight,49,193
102273,weight,49,1921
102660,weight,50,260
102865,weight,50,465
103073,weight,50,673
103535,weight,50,1135
104831,weight,51,383
105151,weight,51,703
105407,weight,51,959
106777,weight,52,281
107070,weight,52,574
107601,weight,52,1105
107848,weight,52,1352
107896,weight,52,1400
108269,weight,52,1773
108327,weight,52,1831
108472,weight,52,1976
108922,weight,53,378
109182,weight,53,638
111454,weight,54,862
111502,weight,54,910
111765,weight,54,1173
111777,weight,54,1185
111798,weight,54,1206
112164,weight,54,1572
113414,weight,55,774
113426,weight,55,786
113492,weight,55,852
115272,weight,56,584
115361,weight,56,673
115698,weight,56,1010
115813,weight,56,1125
115956,weight,56,1268
116144,weight,56,1456
117059,weight,57,323
117135,weight,57,399
119023,weight,58,239
119158,weight,58,374
119422,weight,58,638
119442,weight,58,658
119461,weight,58,677
119757,weight,58,973
119889,weight,58,1105
119966,weight,58,1182
121406,weight,59,574
122424,weight,59,1592
123654,weight,60,774
124209,weight,60,1329
126737,weight,61,1809
127362,weight,62,386
127377,weight,62,401
127558,weight,62,582
127750,weight,62,774
127956,weight,62,980
128036,weight,62,1060
128059,weight,62,1083
128150,weight,62,1174
128376,weight,62,1400
128661,weight,62,1685
128785,weight,62,1809
129491,weight,63,467
129701,weight,63,677
129743,weight,63,719
130034,weight,63,1010
130596,weight,63,1572
131000,weight,63,1976
132806,weight,64,1734
133002,weight,64,1930
133325,weight,65,205
133344,weight,65,224
133571,weight,65,451
134414,weight,65,1294
134613,weight,65,1493
134915,weight,65,1795
135255,weight,66,87
135638,weight,66,470
135659,weight,66,491
135730,weight,66,562
136186,weight,66,1018
136251,weight,66,1083
136286,weight,66,1118
136740,weight,66,1572
136873,weight,66,1705
