metric,value
samples_processed,45000
k_per_sample,1000
unique_params_selected,2048688
total_params,2049000
coverage_percent,99.98477306002928
weight_params_selected,2047688
bias_params_selected,1000
unique_classes_touched,1000
unique_features_touched,2048
adjacent_pairs,2047375
avg_gap,1.0001523670365637
