feature_idx,selection_count
0,829
1,764
2,796
3,811
4,764
5,827
6,793
7,775
8,830
9,774
10,793
11,807
12,823
13,807
14,749
15,787
16,829
17,857
18,821
19,822
20,782
21,796
22,812
23,864
24,751
25,811
26,798
27,787
28,802
29,794
30,819
31,830
32,787
33,836
34,826
35,827
36,864
37,821
38,858
39,804
40,805
41,848
42,756
43,862
44,819
45,728
46,817
47,824
48,848
49,807
50,755
51,825
52,901
53,760
54,814
55,812
56,852
57,794
58,842
59,791
60,836
61,793
62,809
63,738
64,830
65,855
66,775
67,819
68,804
69,825
70,818
71,793
72,832
73,803
74,824
75,808
76,817
77,780
78,783
79,850
80,759
81,722
82,785
83,836
84,759
85,808
86,826
87,800
88,808
89,816
90,802
91,776
92,806
93,830
94,791
95,872
96,795
97,802
98,761
99,813
100,794
101,804
102,846
103,883
104,841
105,793
106,786
107,795
108,793
109,817
110,777
111,849
112,803
113,763
114,835
115,809
116,799
117,835
118,781
119,830
120,811
121,814
122,849
123,772
124,803
125,831
126,814
127,835
128,815
129,734
130,824
131,778
132,797
133,795
134,783
135,804
136,831
137,867
138,875
139,837
140,850
141,846
142,760
143,818
144,794
145,727
146,822
147,788
148,820
149,805
150,867
151,770
152,803
153,747
154,805
155,784
156,789
157,796
158,809
159,807
160,840
161,794
162,775
163,792
164,819
165,816
166,856
167,838
168,823
169,808
170,734
171,785
172,806
173,793
174,847
175,835
176,838
177,742
178,825
179,834
180,852
181,802
182,780
183,881
184,801
185,797
186,816
187,800
188,789
189,726
190,794
191,800
192,810
193,775
194,750
195,826
196,802
197,779
198,759
199,795
200,870
201,817
202,788
203,831
204,773
205,835
206,854
207,788
208,790
209,781
210,713
211,807
212,840
213,788
214,774
215,782
216,839
217,823
218,762
219,831
220,785
221,766
222,829
223,793
224,815
225,758
226,780
227,723
228,806
229,802
230,841
231,760
232,808
233,816
234,807
235,796
236,778
237,828
238,814
239,648
240,813
241,841
242,788
243,806
244,777
245,816
246,812
247,825
248,787
249,860
250,758
251,801
252,781
253,738
254,795
255,888
256,791
257,812
258,836
259,855
260,695
261,762
262,804
263,827
264,779
265,840
266,812
267,842
268,758
269,786
270,811
271,785
272,812
273,751
274,825
275,771
276,850
277,833
278,805
279,807
280,797
281,834
282,777
283,824
284,807
285,820
286,810
287,874
288,795
289,845
290,822
291,819
292,806
293,768
294,833
295,802
296,713
297,786
298,814
299,813
300,785
301,819
302,799
303,842
304,838
305,758
306,827
307,820
308,795
309,825
310,766
311,812
312,790
313,819
314,786
315,859
316,833
317,788
318,848
319,832
320,740
321,833
322,791
323,770
324,806
325,826
326,767
327,785
328,822
329,810
330,814
331,767
332,835
333,760
334,791
335,826
336,788
337,777
338,820
339,778
340,768
341,772
342,812
343,770
344,865
345,849
346,754
347,835
348,830
349,756
350,778
351,847
352,813
353,805
354,797
355,774
356,829
357,846
358,738
359,818
360,795
361,860
362,764
363,819
364,846
365,768
366,766
367,844
368,791
369,779
370,820
371,755
372,854
373,812
374,828
375,820
376,800
377,670
378,842
379,811
380,791
381,788
382,799
383,818
384,882
385,819
386,805
387,786
388,837
389,824
390,790
391,765
392,814
393,790
394,805
395,795
396,813
397,824
398,779
399,825
400,892
401,710
402,821
403,879
404,802
405,795
406,771
407,819
408,816
409,790
410,828
411,854
412,803
413,819
414,746
415,829
416,813
417,836
418,841
419,774
420,772
421,833
422,799
423,829
