metric,value
samples_processed,5879
k_per_sample,100000
unique_params_selected,2048752
total_params,2049000
coverage_percent,99.98789653489507
weight_params_selected,2047752
bias_params_selected,1000
unique_classes_touched,1000
unique_features_touched,2048
adjacent_pairs,2047511
avg_gap,1.0001211084746144
