index,type,class_idx,feature_idx
87,weight,0,87
374,weight,0,374
456,weight,0,456
812,weight,0,812
839,weight,0,839
843,weight,0,843
890,weight,0,890
1213,weight,0,1213
1517,weight,0,1517
1971,weight,0,1971
2060,weight,1,12
2076,weight,1,28
2088,weight,1,40
2101,weight,1,53
2108,weight,1,60
2113,weight,1,65
2124,weight,1,76
2130,weight,1,82
2151,weight,1,103
2157,weight,1,109
2169,weight,1,121
2195,weight,1,147
2210,weight,1,162
2215,weight,1,167
2284,weight,1,236
2305,weight,1,257
2306,weight,1,258
2357,weight,1,309
2372,weight,1,324
2376,weight,1,328
2385,weight,1,337
2395,weight,1,347
2432,weight,1,384
2436,weight,1,388
2445,weight,1,397
2449,weight,1,401
2459,weight,1,411
2507,weight,1,459
2513,weight,1,465
2537,weight,1,489
2564,weight,1,516
2565,weight,1,517
2587,weight,1,539
2601,weight,1,553
2605,weight,1,557
2612,weight,1,564
2636,weight,1,588
2638,weight,1,590
2651,weight,1,603
2662,weight,1,614
2668,weight,1,620
2686,weight,1,638
2701,weight,1,653
2722,weight,1,674
2725,weight,1,677
2728,weight,1,680
2749,weight,1,701
2764,weight,1,716
2803,weight,1,755
2814,weight,1,766
2864,weight,1,816
2882,weight,1,834
2887,weight,1,839
2891,weight,1,843
2898,weight,1,850
2901,weight,1,853
2906,weight,1,858
2919,weight,1,871
2921,weight,1,873
2922,weight,1,874
2938,weight,1,890
2951,weight,1,903
2973,weight,1,925
2974,weight,1,926
2978,weight,1,930
2987,weight,1,939
3011,weight,1,963
3019,weight,1,971
3022,weight,1,974
3034,weight,1,986
3044,weight,1,996
3058,weight,1,1010
3071,weight,1,1023
3079,weight,1,1031
3080,weight,1,1032
3089,weight,1,1041
3120,weight,1,1072
3126,weight,1,1078
3136,weight,1,1088
3145,weight,1,1097
3148,weight,1,1100
3179,weight,1,1131
3191,weight,1,1143
3192,weight,1,1144
3197,weight,1,1149
3235,weight,1,1187
3255,weight,1,1207
3264,weight,1,1216
3266,weight,1,1218
3301,weight,1,1253
3342,weight,1,1294
3357,weight,1,1309
3386,weight,1,1338
3416,weight,1,1368
3428,weight,1,1380
3443,weight,1,1395
3448,weight,1,1400
3467,weight,1,1419
3505,weight,1,1457
3507,weight,1,1459
3511,weight,1,1463
3550,weight,1,1502
3554,weight,1,1506
3566,weight,1,1518
3572,weight,1,1524
3583,weight,1,1535
3608,weight,1,1560
3631,weight,1,1583
3639,weight,1,1591
3669,weight,1,1621
3678,weight,1,1630
3696,weight,1,1648
3724,weight,1,1676
3726,weight,1,1678
3743,weight,1,1695
3747,weight,1,1699
3797,weight,1,1749
3883,weight,1,1835
3897,weight,1,1849
3909,weight,1,1861
3919,weight,1,1871
3926,weight,1,1878
3967,weight,1,1919
3978,weight,1,1930
3998,weight,1,1950
4006,weight,1,1958
4007,weight,1,1959
4053,weight,1,2005
4054,weight,1,2006
4072,weight,1,2024
4155,weight,2,59
4237,weight,2,141
4249,weight,2,153
4266,weight,2,170
4282,weight,2,186
4289,weight,2,193
4382,weight,2,286
4390,weight,2,294
4395,weight,2,299
4397,weight,2,301
4460,weight,2,364
4499,weight,2,403
4549,weight,2,453
4559,weight,2,463
4595,weight,2,499
4674,weight,2,578
4680,weight,2,584
4709,weight,2,613
4752,weight,2,656
4852,weight,2,756
4883,weight,2,787
4886,weight,2,790
4915,weight,2,819
4959,weight,2,863
4963,weight,2,867
5012,weight,2,916
5015,weight,2,919
5032,weight,2,936
5068,weight,2,972
5082,weight,2,986
5160,weight,2,1064
5178,weight,2,1082
5236,weight,2,1140
5337,weight,2,1241
5362,weight,2,1266
5384,weight,2,1288
5417,weight,2,1321
5441,weight,2,1345
5535,weight,2,1439
5541,weight,2,1445
5545,weight,2,1449
5655,weight,2,1559
5694,weight,2,1598
5888,weight,2,1792
5961,weight,2,1865
5980,weight,2,1884
6013,weight,2,1917
6118,weight,2,2022
6200,weight,3,56
6261,weight,3,117
6451,weight,3,307
6580,weight,3,436
6597,weight,3,453
6692,weight,3,548
6820,weight,3,676
6837,weight,3,693
6934,weight,3,790
6946,weight,3,802
6970,weight,3,826
7176,weight,3,1032
7210,weight,3,1066
7226,weight,3,1082
7264,weight,3,1120
7437,weight,3,1293
7478,weight,3,1334
7510,weight,3,1366
7539,weight,3,1395
7593,weight,3,1449
7614,weight,3,1470
7616,weight,3,1472
7617,weight,3,1473
7634,weight,3,1490
7636,weight,3,1492
7718,weight,3,1574
7795,weight,3,1651
7877,weight,3,1733
7941,weight,3,1797
8022,weight,3,1878
8065,weight,3,1921
8131,weight,3,1987
8168,weight,3,2024
8170,weight,3,2026
8205,weight,4,13
8232,weight,4,40
8257,weight,4,65
8307,weight,4,115
8309,weight,4,117
8337,weight,4,145
8367,weight,4,175
8382,weight,4,190
8436,weight,4,244
8447,weight,4,255
8483,weight,4,291
8499,weight,4,307
8533,weight,4,341
8538,weight,4,346
8553,weight,4,361
8573,weight,4,381
8587,weight,4,395
8591,weight,4,399
8616,weight,4,424
8637,weight,4,445
8835,weight,4,643
9058,weight,4,866
9087,weight,4,895
9119,weight,4,927
9134,weight,4,942
9188,weight,4,996
9199,weight,4,1007
9237,weight,4,1045
9252,weight,4,1060
9256,weight,4,1064
9309,weight,4,1117
9327,weight,4,1135
9333,weight,4,1141
9385,weight,4,1193
9416,weight,4,1224
9478,weight,4,1286
9485,weight,4,1293
9558,weight,4,1366
9594,weight,4,1402
9665,weight,4,1473
9685,weight,4,1493
9697,weight,4,1505
9736,weight,4,1544
9766,weight,4,1574
9773,weight,4,1581
9785,weight,4,1593
9788,weight,4,1596
9808,weight,4,1616
9962,weight,4,1770
9968,weight,4,1776
10044,weight,4,1852
10087,weight,4,1895
10208,weight,4,2016
10267,weight,5,27
10283,weight,5,43
10302,weight,5,62
10304,weight,5,64
10325,weight,5,85
10337,weight,5,97
10357,weight,5,117
10374,weight,5,134
10376,weight,5,136
10415,weight,5,175
10463,weight,5,223
10483,weight,5,243
10496,weight,5,256
10524,weight,5,284
10529,weight,5,289
10569,weight,5,329
10586,weight,5,346
10623,weight,5,383
10697,weight,5,457
10725,weight,5,485
10742,weight,5,502
10839,weight,5,599
10846,weight,5,606
10872,weight,5,632
10879,weight,5,639
10883,weight,5,643
10890,weight,5,650
10891,weight,5,651
10896,weight,5,656
10904,weight,5,664
10932,weight,5,692
10942,weight,5,702
10952,weight,5,712
10968,weight,5,728
11001,weight,5,761
11057,weight,5,817
11066,weight,5,826
11068,weight,5,828
11087,weight,5,847
11095,weight,5,855
11130,weight,5,890
11180,weight,5,940
11185,weight,5,945
11199,weight,5,959
11226,weight,5,986
11271,weight,5,1031
11291,weight,5,1051
11306,weight,5,1066
11318,weight,5,1078
11334,weight,5,1094
11340,weight,5,1100
11351,weight,5,1111
11357,weight,5,1117
11358,weight,5,1118
11399,weight,5,1159
11418,weight,5,1178
11425,weight,5,1185
11433,weight,5,1193
11437,weight,5,1197
11442,weight,5,1202
11476,weight,5,1236
11509,weight,5,1269
11516,weight,5,1276
11534,weight,5,1294
11589,weight,5,1349
11592,weight,5,1352
11633,weight,5,1393
11635,weight,5,1395
11650,weight,5,1410
11656,weight,5,1416
11678,weight,5,1438
11687,weight,5,1447
11717,weight,5,1477
11742,weight,5,1502
11747,weight,5,1507
11757,weight,5,1517
11758,weight,5,1518
11795,weight,5,1555
11806,weight,5,1566
11814,weight,5,1574
11836,weight,5,1596
11841,weight,5,1601
11856,weight,5,1616
11886,weight,5,1646
