index,type,class_idx,feature_idx
7795,weight,3,1651
7804,weight,3,1660
7841,weight,3,1697
7850,weight,3,1706
7859,weight,3,1715
7872,weight,3,1728
7874,weight,3,1730
7878,weight,3,1734
7914,weight,3,1770
7919,weight,3,1775
7929,weight,3,1785
7930,weight,3,1786
8006,weight,3,1862
8015,weight,3,1871
8032,weight,3,1888
8039,weight,3,1895
8046,weight,3,1902
8071,weight,3,1927
8076,weight,3,1932
8083,weight,3,1939
8097,weight,3,1953
8141,weight,3,1997
8144,weight,3,2000
8162,weight,3,2018
8221,weight,4,29
8223,weight,4,31
8244,weight,4,52
8280,weight,4,88
8311,weight,4,119
8319,weight,4,127
8378,weight,4,186
8388,weight,4,196
8392,weight,4,200
8394,weight,4,202
8395,weight,4,203
8408,weight,4,216
8411,weight,4,219
8418,weight,4,226
8423,weight,4,231
8435,weight,4,243
8441,weight,4,249
8449,weight,4,257
8459,weight,4,267
8499,weight,4,307
8524,weight,4,332
8576,weight,4,384
8624,weight,4,432
8679,weight,4,487
8692,weight,4,500
8706,weight,4,514
8770,weight,4,578
8776,weight,4,584
8802,weight,4,610
8807,weight,4,615
8818,weight,4,626
8838,weight,4,646
8865,weight,4,673
8909,weight,4,717
8959,weight,4,767
8977,weight,4,785
9025,weight,4,833
9033,weight,4,841
9075,weight,4,883
9082,weight,4,890
9111,weight,4,919
9116,weight,4,924
9129,weight,4,937
9139,weight,4,947
9141,weight,4,949
9159,weight,4,967
9174,weight,4,982
9190,weight,4,998
9233,weight,4,1041
9263,weight,4,1071
9289,weight,4,1097
9300,weight,4,1108
9303,weight,4,1111
9385,weight,4,1193
9405,weight,4,1213
9414,weight,4,1222
9425,weight,4,1233
9444,weight,4,1252
9454,weight,4,1262
9475,weight,4,1283
9478,weight,4,1286
9493,weight,4,1301
9494,weight,4,1302
9504,weight,4,1312
9505,weight,4,1313
9507,weight,4,1315
9525,weight,4,1333
9529,weight,4,1337
9539,weight,4,1347
9544,weight,4,1352
9558,weight,4,1366
9560,weight,4,1368
9586,weight,4,1394
9615,weight,4,1423
9647,weight,4,1455
9669,weight,4,1477
9670,weight,4,1478
9681,weight,4,1489
9690,weight,4,1498
9710,weight,4,1518
9722,weight,4,1530
9738,weight,4,1546
9739,weight,4,1547
9755,weight,4,1563
9763,weight,4,1571
9783,weight,4,1591
9789,weight,4,1597
9797,weight,4,1605
9835,weight,4,1643
9903,weight,4,1711
9912,weight,4,1720
9920,weight,4,1728
9965,weight,4,1773
9967,weight,4,1775
9968,weight,4,1776
9977,weight,4,1785
10001,weight,4,1809
10029,weight,4,1837
10072,weight,4,1880
10080,weight,4,1888
10106,weight,4,1914
10131,weight,4,1939
10143,weight,4,1951
10145,weight,4,1953
10160,weight,4,1968
10165,weight,4,1973
10178,weight,4,1986
10189,weight,4,1997
10210,weight,4,2018
10225,weight,4,2033
10237,weight,4,2045
10242,weight,5,2
10292,weight,5,52
10303,weight,5,63
10328,weight,5,88
10329,weight,5,89
10337,weight,5,97
10374,weight,5,134
10377,weight,5,137
10378,weight,5,138
10381,weight,5,141
10443,weight,5,203
10485,weight,5,245
10487,weight,5,247
10511,weight,5,271
10525,weight,5,285
10547,weight,5,307
10559,weight,5,319
10561,weight,5,321
10562,weight,5,322
10654,weight,5,414
10673,weight,5,433
10676,weight,5,436
10698,weight,5,458
10713,weight,5,473
10756,weight,5,516
10788,weight,5,548
10789,weight,5,549
10798,weight,5,558
10817,weight,5,577
10827,weight,5,587
10845,weight,5,605
10850,weight,5,610
10884,weight,5,644
10987,weight,5,747
11001,weight,5,761
11035,weight,5,795
11046,weight,5,806
11070,weight,5,830
11140,weight,5,900
11144,weight,5,904
11150,weight,5,910
11158,weight,5,918
11159,weight,5,919
11164,weight,5,924
11165,weight,5,925
11173,weight,5,933
11175,weight,5,935
11180,weight,5,940
11185,weight,5,945
11299,weight,5,1059
11301,weight,5,1061
11350,weight,5,1110
11353,weight,5,1113
11371,weight,5,1131
11380,weight,5,1140
11407,weight,5,1167
11450,weight,5,1210
11462,weight,5,1222
11480,weight,5,1240
11491,weight,5,1251
11506,weight,5,1266
11537,weight,5,1297
11545,weight,5,1305
11549,weight,5,1309
11557,weight,5,1317
11572,weight,5,1332
11594,weight,5,1354
11635,weight,5,1395
11693,weight,5,1453
11713,weight,5,1473
11778,weight,5,1538
11786,weight,5,1546
11829,weight,5,1589
11842,weight,5,1602
11852,weight,5,1612
11859,weight,5,1619
11886,weight,5,1646
11903,weight,5,1663
11915,weight,5,1675
11937,weight,5,1697
11978,weight,5,1738
12013,weight,5,1773
12037,weight,5,1797
12038,weight,5,1798
12046,weight,5,1806
12054,weight,5,1814
12057,weight,5,1817
12061,weight,5,1821
12064,weight,5,1824
12078,weight,5,1838
12097,weight,5,1857
12098,weight,5,1858
12153,weight,5,1913
12175,weight,5,1935
12178,weight,5,1938
12185,weight,5,1945
12233,weight,5,1993
12258,weight,5,2018
12270,weight,5,2030
12301,weight,6,13
12411,weight,6,123
12420,weight,6,132
12458,weight,6,170
12488,weight,6,200
12555,weight,6,267
12610,weight,6,322
12622,weight,6,334
12667,weight,6,379
12681,weight,6,393
12721,weight,6,433
12746,weight,6,458
12846,weight,6,558
12867,weight,6,579
12875,weight,6,587
12878,weight,6,590
12927,weight,6,639
12933,weight,6,645
12951,weight,6,663
12991,weight,6,703
13049,weight,6,761
13050,weight,6,762
13086,weight,6,798
13090,weight,6,802
13192,weight,6,904
13212,weight,6,924
13221,weight,6,933
13230,weight,6,942
13233,weight,6,945
13291,weight,6,1003
13377,weight,6,1089
13419,weight,6,1131
13428,weight,6,1140
13446,weight,6,1158
13460,weight,6,1172
13528,weight,6,1240
13568,weight,6,1280
13585,weight,6,1297
13587,weight,6,1299
13590,weight,6,1302
13625,weight,6,1337
13632,weight,6,1344
13683,weight,6,1395
13809,weight,6,1521
13826,weight,6,1538
13985,weight,6,1697
14013,weight,6,1725
