metric,value
samples_processed,5160
k_per_sample,50000
unique_params_selected,2043318
total_params,2049000
coverage_percent,99.72269399707174
weight_params_selected,2042318
bias_params_selected,1000
unique_classes_touched,1000
unique_features_touched,2048
adjacent_pairs,2037303
avg_gap,1.002782134213249
