topk,overall_auroc,overall_fpr95,selected_params_count,selected_params_percentage,avg_params_per_sample,avg_params_per_sample_pct,avg_gradient_magnitude,avg_gradient_magnitude_std,ssb_hard_auroc,ssb_hard_fpr95,ssb_hard_selected_count,ssb_hard_selected_percentage,ssb_hard_avg_gradient,ninco_auroc,ninco_fpr95,ninco_selected_count,ninco_selected_percentage,ninco_avg_gradient,inaturalist_auroc,inaturalist_fpr95,inaturalist_selected_count,inaturalist_selected_percentage,inaturalist_avg_gradient,textures_auroc,textures_fpr95,textures_selected_count,textures_selected_percentage,textures_avg_gradient,openimage_o_auroc,openimage_o_fpr95,openimage_o_selected_count,openimage_o_selected_percentage,openimage_o_avg_gradient
1,85.76726377509162,43.71333333333333,4191.8,4.085575048732943,1,0.0009746588693957116,0.5710971432220464,0.09484694723380435,80.36220861678005,65.8,9136,8.904483430799221,0.43072142203648883,84.36586910094309,46.18888888888889,2654,2.5867446393762186,0.503020677877509,90.80221277777778,25.788888888888888,2200,2.144249512670565,0.6974261313676834,85.57294465977606,45.38888888888889,2162,2.107212475633528,0.6377404317969367,87.7330837201812,35.4,4807,4.685185185185185,0.5865770530316138
10,85.69964772873837,43.742222222222225,18943.8,18.463742690058478,10,0.009746588693957114,0.47066164635947094,0.07573730487252979,80.46749342403628,65.62222222222222,33839,32.98148148148148,0.35401721329738695,84.30030617451946,46.17777777777778,14620,14.2495126705653,0.4274564035560774,90.7311538888889,25.877777777777776,10811,10.537037037037036,0.5711579397320747,85.33439168819984,45.43333333333333,13005,12.67543859649123,0.5262917862052009,87.66489346804742,35.6,22444,21.87524366471735,0.4743848890066147
100,85.48621323118343,43.94222222222222,64778.2,63.136647173489266,100,0.09746588693957114,0.3343575114290813,0.045197053526195366,80.53973401360544,65.58888888888889,86862,84.6608187134503,0.2592535687144846,84.11873617962237,45.91111111111111,59392,57.886939571150094,0.318364891021148,90.506095,26.38888888888889,45411,44.260233918128655,0.39240783229470255,84.81883290267011,46.111111111111114,57550,56.09161793372319,0.36505164702733356,87.44766806001918,35.71111111111111,74676,72.78362573099415,0.3367096180877378
1000,85.38896770992747,44.013333333333335,98954.2,96.44658869395712,1000,0.9746588693957114,0.11889323511531391,0.010664309141755498,80.61211156462585,65.5111111111111,102599,99.9990253411306,0.10231884132372215,84.04617187352346,45.81111111111112,99021,96.51169590643275,0.12096248437529025,90.50275444444445,26.58888888888889,90736,88.43664717348928,0.13402969986200333,84.43604543496987,46.355555555555554,100140,97.60233918128655,0.11308515852405912,87.34775523207371,35.8,102275,99.6832358674464,0.12406999149149464
10000,85.43740174026507,43.94666666666667,102575.0,99.9756335282651,10000,9.746588693957115,0.01711997175424873,0.0019421123488677862,80.64556950113379,65.47777777777777,102600,100.0,0.014510628037290493,84.08187144450115,45.84444444444444,102600,100.0,0.01713884152148081,90.59710277777778,26.422222222222224,102475,99.87816764132553,0.02022536643780768,84.47385335917312,46.266666666666666,102600,100.0,0.01579622733628466,87.38861161873955,35.72222222222222,102600,100.0,0.01792879543838001
102600,85.43971632375714,43.948888888888895,102600.0,100.0,102600,100.0,0.0019374377999213242,0.00023472699456481913,80.64648435374151,65.47777777777777,102600,100.0,0.001594515659235185,84.0834467313035,45.84444444444444,102600,100.0,0.00189550192621739,90.59999333333333,26.43333333333333,102600,100.0,0.002316251868614927,84.47791774332472,46.266666666666666,102600,100.0,0.0018610518558749131,87.39073945708266,35.72222222222222,102600,100.0,0.0020198676896642054
